name,gender,affliation
Sechaba Mokoena,MALE,FS
Seipati Modika,FEMALE,LIM
Sekele Rakamoso,MALE,EKU
Sergiano Bocks,MALE,WC
Seth Redlinghuys,MALE,UMG
Sethunya Buisanyang,FEMALE,BOT
Shameel Ali,MALE,UMG
Shane Overmeyer,MALE,CW
Shantel Maila,FEMALE,LIM
Shaun Jones,MALE,CT
Shaun Pako,MALE,LIM
Shavishka Ramalingam,FEMALE,UMG
Shiloh Smith,FEMALE,CT
Shiraaz Moosa,MALE,FS
Shona Jones,FEMALE,CT
Shreya Naidoo,FEMALE,UMG
Shrian Bandu,MALE,UMG
Sibongwa Masimula,MALE,UMZ
Siddeeq Buckus,MALE,UMZ
Simangaliso Khoza,MALE,ETK
Simangele Khoza,FEMALE,ETK
Simone Mahlamvu,FEMALE,FS
Simthandile Ndlovu,FEMALE,ETK
Sinakho Bhengu,FEMALE,ETK
Siphelele Sithole,MALE,ETK
Siphephelo Mgenge,MALE,ETK
Sipho Booi,MALE,FS
Sipho Khoza,MALE,EKU
Sipho Nkhoane,MALE,FS
Siphokazi Mthanti,FEMALE,UMZ
Sisitha Baba,FEMALE,WC
Sivarna Sivnannan,FEMALE,UMG
Siyabonga Malepa,MALE,NW
Siyabonga Motloung,MALE,UMZ
Siyabonga Thwala,MALE,UMZ
Siyanda Ziqubu,MALE,UMZ
Skylyn Joseph,FEMALE,CT
Solofelang Makokoe,FEMALE,NW
Sphamandla Mngadi,MALE,UMG
Stephanie Batsholeng,FEMALE,BOT
Sthabile Mnyandu,FEMALE,ETK
Suvaria Moodley,FEMALE,UMG
Syriana Sivnannan,FEMALE,UMG
Taahira Ismail,FEMALE,ETK
Tadiwanashe Husvu,FEMALE,GN
Tamara Salie,FEMALE,GN
Tamika Karra,FEMALE,CT
Tamzin Human,FEMALE,CW
Tarini Pillay,FEMALE,UMG
Tashreeq Baba,MALE,CT
Tayden Royappen,MALE,UMG
Tayla Bailey,FEMALE,CT
Taylin Naipal,MALE,UMG
Taylor Ruiters,FEMALE,EDEN
Tazmin Harris,FEMALE,CT
Tebogo Kotopo,MALE,BOT
Tebogo Maake,MALE,LIM
Tebogo Tema,MALE,LIM
Teme Govender,FEMALE,ETK
Temoso Letjou,MALE,LIM
Terrence Mathole,MALE,JTTA
Terriwoki Rangata,FEMALE,JTTA
Tevia Sapire,MALE,JTTA
Thamia Kganedi,FEMALE,NW
Thandi Matlou,FEMALE,NW
Thapelo Papu,MALE,EC
Thatayaone Phushudi,MALE,NW
Thato Dithejane,MALE,NW
Thato Mojakisane,MALE,NW
Thato Sekamoeng,MALE,NC
Theo Cogill,MALE,CT
Theophilus Addo,MALE,GN
Tholwana Msimango,FEMALE,ETK
Thomas Mateta,MALE,LIM
Tian Louw,MALE,CW
Timothy Fitzgibbon,MALE,CT
Timothy Lingeveldt,MALE,CT
Tony Pretorius,MALE,EDEN
Topollo Mofokeng,FEMALE,ETK
Tricia Museve,FEMALE,EKU
Trust Madoro,MALE,ZIM
Tshepiso Lehloo,FEMALE,NW
Tshepo Mafoo,MALE,LIM
Tshepo Majoe,MALE,EKU
Tsholofelo Mecwi,FEMALE,NC
Turzo Ranck,MALE,CT
Tyriq Brigraj,MALE,UMG
Umair Patel,MALE,UMG
Umgungundlovu B,FEMALE,UMG-B
Umgungundlovu B,MALE,UMG-B
Umr Jacobs,MALE,CW
University Sport,FEMALE,USSA
University Sport,MALE,USSA
Vaishant Padayachee,MALE,JTTA
Vedansh Morya,MALE,GN
Vereldo Maasdorp,MALE,WC
Veya Pillay,FEMALE,UMG
Vic Carrasco,MALE,FS
Vukile Sibiya,MALE,ETK
Wanga Maboya,MALE,LIM
Wayden Brown,MALE,CT
West Coast,FEMALE,WC
West Coast,MALE,WC
Whinley Bruiners,FEMALE,EDEN
William Rafube,MALE,FS
Willow Smith,FEMALE,CT
Winston Masopha,MALE,NW
Xavian Naidoo,MALE,ETK
Xhaiden Williams,MALE,EDEN
Xoey Williams,FEMALE,CT
Yamkela Sishi,MALE,ETK
Yaqeen Manuel,MALE,CT
Yaqoob Domingo,MALE,CT
Yashil Jaimangal,MALE,ETK
Yonela Batyo,FEMALE,ETK
Yonwaba Matilose,FEMALE,EC
Yukail Naidoo,MALE,ETK
Yuvaan Singh,MALE,ETK
Zach Mitchell,MALE,NW
Zachariah Chetty,MALE,ETK
Zainick Swartz,FEMALE,WC
Zayd Hoosen,MALE,JTTA
Zian Beukes,MALE,EDEN
Ziyanda Cele,FEMALE,ETK
Zodwa Maphanga,FEMALE,GN
Zoey Matroos,FEMALE,WC
Zoliswa Ncitshana,FEMALE,EC
Zukisani Sigabi,MALE,EC
